id;course_id;user_id;sale_value_brl;created_at
1;20;6157;180.0;2019-04-09
2;1;6130;180.0;2019-10-13
3;1;2729;162.0;2019-02-21
4;1;8819;206.0;2018-12-28
5;1;1026;285.0;2019-07-06
6;1;8139;167.4;2019-10-17
7;1;3243;276.0;2019-11-18
8;1;2061;291.0;2019-08-29
9;1;9672;330.0;2019-07-11
10;1;6110;216.0;2019-10-21
11;1;6770;192.0;2019-10-11
12;1;5802;232.8;2019-10-16
13;1;8069;312.0;2019-06-17
14;1;2684;288.0;2019-11-30
15;1;3175;181.8;2019-01-26
16;1;1353;370.6;2018-01-20
17;1;689;218.0;2019-05-17
18;1;6454;180.0;2019-08-10
19;1;1411;254.4;2017-02-05
20;1;7497;190.0;2019-11-04
21;1;7943;162.0;2019-12-25
22;1;9003;364.0;2018-11-27
23;1;6620;309.0;2019-08-26
24;1;691;240.0;2017-08-10
25;1;3381;204.0;2018-08-22
26;1;9721;220.0;2019-07-13
27;1;9095;186.0;2018-07-08
28;1;5245;189.0;2019-11-13
29;1;4532;340.0;2019-03-22
30;1;6334;194.4;2019-11-22
31;1;4340;303.0;2018-07-02
32;1;2459;424.0;2017-05-07
33;1;2276;264.0;2019-06-28
34;1;2241;216.0;2017-08-11
35;1;1658;200.0;2019-11-14
36;1;9241;198.0;2018-07-12
37;1;1720;188.0;2018-08-19
38;1;4110;230.4;2018-12-12
39;1;8581;174.6;2019-08-11
40;1;2170;353.6;2019-06-21
41;1;1536;208.0;2018-02-13
42;1;4209;182.0;2018-12-24
43;1;9779;216.0;2019-12-16
44;1;2595;256.8;2018-05-16
45;1;9996;198.0;2019-12-29
46;1;2673;218.0;2017-08-04
47;1;2065;303.0;2017-12-14
48;1;1977;184.0;2019-12-08
49;1;3107;190.8;2017-08-28
50;1;4021;264.0;2019-01-03
51;1;1584;291.0;2018-01-20
52;1;4407;200.0;2019-05-03
53;1;4489;247.2;2019-12-16
54;1;898;282.0;2017-07-09
55;1;5343;190.0;2019-04-23
56;1;4990;324.0;2019-12-26
57;1;7101;181.8;2019-11-05
58;1;5503;200.0;2019-06-02
59;1;6902;237.6;2019-12-27
60;1;8561;216.0;2019-08-01
61;1;4126;318.0;2018-06-28
62;1;5781;240.0;2019-06-05
63;1;5160;214.0;2019-11-16
64;1;3338;315.0;2018-01-02
65;1;174;210.0;2018-06-22
66;1;9152;184.0;2019-05-25
67;1;6047;200.0;2019-11-09
68;1;7543;318.0;2019-12-12
69;1;3889;192.0;2018-09-30
70;1;1256;318.0;2017-08-28
71;1;9062;249.6;2018-03-19
72;1;5718;208.0;2019-04-16
73;1;360;327.0;2016-04-12
74;1;1022;178.2;2018-12-05
75;1;4676;306.0;2019-07-24
76;1;3006;252.0;2018-05-06
77;1;4784;169.2;2018-06-28
78;1;6192;424.0;2019-10-15
79;1;3923;294.0;2018-02-05
80;1;2055;316.2;2017-08-31
81;1;8941;220.8;2019-01-13
82;1;5408;230.4;2019-05-24
83;1;8539;270.0;2019-03-19
84;1;7376;408.0;2019-10-13
85;1;8587;327.0;2018-11-17
86;1;3904;210.0;2018-08-23
87;1;8603;218.0;2019-05-02
88;1;6156;392.0;2019-12-03
89;1;2925;196.0;2019-03-25
90;1;9925;182.0;2019-11-22
91;1;4677;183.6;2018-09-29
92;1;3157;180.0;2018-05-04
93;1;6928;230.4;2019-11-24
94;1;8096;294.0;2016-10-27
95;1;3359;165.6;2019-12-14
96;1;9142;323.0;2018-10-06
97;1;3755;264.0;2019-01-01
98;1;4145;182.0;2018-03-05
99;1;7959;185.4;2019-12-31
100;1;9442;291.0;2019-10-18
101;1;6792;285.0;2019-10-31
102;1;2602;220.0;2018-07-24
103;1;1408;306.0;2017-05-20
104;1;9243;202.0;2019-08-25
105;1;785;163.8;2016-11-30
106;1;5422;380.0;2019-10-31
107;1;4408;228.0;2019-10-02
108;1;6998;247.2;2019-12-22
109;1;7007;220.0;2019-09-25
110;1;4817;330.0;2018-10-16
111;1;13;315.0;2017-03-14
112;1;5965;196.0;2019-10-30
113;1;37;404.0;2017-12-30
114;1;8018;230.4;2019-01-08
115;1;5272;180.0;2019-04-17
116;1;6551;190.0;2019-10-25
117;1;2779;180.0;2017-11-30
118;1;5181;285.0;2018-11-28
119;1;1627;297.0;2019-12-23
120;1;9055;198.0;2019-04-20
121;1;1873;223.2;2018-02-18
122;1;4177;330.0;2018-06-15
123;1;8285;244.8;2018-04-27
124;1;6854;235.2;2019-06-17
125;1;7866;204.0;2019-12-31
126;1;7635;214.0;2019-12-06
127;1;7453;181.8;2019-09-26
128;1;5498;254.4;2019-06-26
129;1;3208;232.8;2019-01-28
130;1;8288;384.0;2018-02-17
131;1;5046;212.0;2019-08-21
132;1;1755;187.2;2017-09-23
133;1;6426;210.0;2019-08-03
134;1;8387;264.0;2019-07-07
135;1;9107;198.0;2018-09-07
136;1;9693;294.0;2019-07-21
137;1;2658;225.6;2019-04-12
138;1;7751;206.0;2019-12-12
139;1;5993;270.0;2019-12-27
140;1;8190;196.0;2017-05-21
141;1;9156;180.0;2019-06-13
142;1;2912;182.0;2019-10-07
143;1;5370;208.0;2019-07-02
144;1;5165;180.0;2019-09-09
145;1;9393;192.0;2019-11-03
146;1;6689;200.0;2019-07-10
147;1;6877;196.0;2019-06-23
148;1;9159;420.0;2019-12-20
149;1;747;273.0;2017-10-10
150;1;3546;202.0;2018-04-23
151;1;4923;330.0;2019-06-30
152;1;8123;288.0;2018-06-10
153;1;9121;174.6;2019-02-02
154;1;1142;261.6;2016-08-22
155;1;3223;412.0;2019-09-29
156;1;8606;220.0;2017-10-28
157;1;8256;196.2;2016-07-24
158;1;2552;216.0;2019-05-24
